Kyrie Irving,2.4,.320
Derrick Williams,7.9,.279
Tristan Thompson,5.5,.200
Brandon Knight,5.3,.157
Kemba Walker,9.7,.251
Jimmer Fredette,8.5,.256
Klay Thompson,5.8,.198
Alec Burks,6.6,.221
Markieff Morris,6.0,.257
Marcus Morris,7.2,.269
Kawhi Leonard,6.8,.231
Nikola Vucevic,6.6,.221
Iman Shumpert,4.9,.196
Chris Singleton,3.9,.191
Tobias Harris,4.4,.177
Nolan Smith,7.4,.234
Kenneth Faried,8.3,.272
Reggie Jackson,5.6,.193
MarShon Brooks,5.9,.203
Jordan Hamilton,6.7,.231
Norris Cole,8.3,.258
Cory Joseph,4.4,.152
Jimmy Butler,6.3,.198
